geocode,slug_tentado,http_status,slug_final
1100015,ALTA_FLORESTA_DOESTE,200,ALTA_FLORESTA_DOESTE
1100023,ARIQUEMES,200,ARIQUEMES
1100031,CABIXI,200,CABIXI
1100049,CACOAL,200,CACOAL
1100056,CEREJEIRAS,200,CEREJEIRAS
1100064,COLORADO_DO_OESTE,200,COLORADO_DO_OESTE
1100072,CORUMBIARA,200,CORUMBIARA
1100080,COSTA_MARQUES,200,COSTA_MARQUES
1100098,ESPIGAO_DOESTE,200,ESPIGAO_DOESTE
1100106,GUAJARA_MIRIM,200,GUAJARA_MIRIM
1100114,JARU,200,JARU
1100122,JI_PARANA,200,JI_PARANA
1100130,MACHADINHO_DOESTE,200,MACHADINHO_DOESTE
1100148,NOVA_BRASILANDIA_DOESTE,200,NOVA_BRASILANDIA_DOESTE
1100155,OURO_PRETO_DO_OESTE,200,OURO_PRETO_DO_OESTE
1100189,PIMENTA_BUENO,200,PIMENTA_BUENO
1100205,PORTO_VELHO,200,PORTO_VELHO
1100254,PRESIDENTE_MEDICI,200,PRESIDENTE_MEDICI
1100262,RIO_CRESPO,200,RIO_CRESPO
1100288,ROLIM_DE_MOURA,200,ROLIM_DE_MOURA
1100296,SANTA_LUZIA_DOESTE,200,SANTA_LUZIA_DOESTE
1100304,VILHENA,200,VILHENA
1100320,SAO_MIGUEL_DO_GUAPORE,200,SAO_MIGUEL_DO_GUAPORE
1100338,NOVA_MAMORE,200,NOVA_MAMORE
1100346,ALVORADA_DOESTE,200,ALVORADA_DOESTE
1100379,ALTO_ALEGRE_DOS_PARECIS,200,ALTO_ALEGRE_DOS_PARECIS
1100403,ALTO_PARAISO,200,ALTO_PARAISO
1100452,BURITIS,200,BURITIS
1100502,NOVO_HORIZONTE_DO_OESTE,200,NOVO_HORIZONTE_DO_OESTE
1100601,CACAULANDIA,200,CACAULANDIA
1100700,CAMPO_NOVO_DE_RONDONIA,200,CAMPO_NOVO_DE_RONDONIA
1100809,CANDEIAS_DO_JAMARI,200,CANDEIAS_DO_JAMARI
1100908,CASTANHEIRAS,200,CASTANHEIRAS
1100924,CHUPINGUAIA,200,CHUPINGUAIA
1100940,CUJUBIM,200,CUJUBIM
1101005,GOVERNADOR_JORGE_TEIXEIRA,200,GOVERNADOR_JORGE_TEIXEIRA
1101104,ITAPUA_DO_OESTE,200,ITAPUA_DO_OESTE
1101203,MINISTRO_ANDREAZZA,200,MINISTRO_ANDREAZZA
1101302,MIRANTE_DA_SERRA,200,MIRANTE_DA_SERRA
1101401,MONTE_NEGRO,200,MONTE_NEGRO
1101435,NOVA_UNIAO,200,NOVA_UNIAO
1101450,PARECIS,200,PARECIS
